annotation,speaker,utterance,neutral,anger,disgust,fear,joy,sadness,surprise
1022000,Ross,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",0,0,0,0,0,0,0
4010000,Rachel,I know.,1,0,0,0,0,0,0
4010000,Ross,Yeah.,1,0,0,0,0,0,0
4010000,Rachel,Yeah.,1,0,0,0,0,0,0
5000000,Phoebe,Ameri-can.,1,0,0,0,0,0,0
5000000,Sergei,Ameri-ccan.,1,0,0,0,0,0,0
5000000,Phoebe,Ameri-can. Y'know its a,1,0,0,0,0,0,0
0200030,Sergei,Everybody!!,0,0,0,0,0,0,1
0500000,Chandler,Good job Joe! Well done! Top notch!,0,0,0,0,1,0,0
0100040,Joey,You liked it? You really liked it?,0,0,0,0,0,0,1
0500000,Chandler,"Oh-ho-ho, yeah!",0,0,0,0,1,0,0
3100010,Joey,Which part exactly?,1,0,0,0,0,0,0
3100010,Chandler,The whole thing! Can we go?,1,0,0,0,0,0,0
2100101,Joey,"Oh no-no-no, give me some specifics.",0,0,0,0,0,0,0
2200001,Chandler,"I love the specifics, the specifics were the best part!",0,0,0,0,0,0,0
3100010,Joey,"Hey, what about the scene with the kangaroo? Did-did you like that part?",1,0,0,0,0,0,0
2000021,Chandler,I was surprised to see a kangaroo in a World War I epic.,0,0,0,0,0,0,0
0010301,Joey,You fell asleep!!,0,1,0,0,0,0,0
0000311,Joey,There was no kangaroo!,0,1,0,0,0,0,0
0010202,Joey,They didnt take any of my suggestions!,0,0,0,0,0,0,0
4010000,Joey,Thats for coming buddy.,1,0,0,0,0,0,0
3020000,Joey,Ill see you later.,1,0,0,0,0,0,0
0050000,Chandler,Dont go!,0,0,0,0,0,1,0
0050000,Chandler,Im sorry.,0,0,0,0,0,1,0
0050000,Chandler,Im so sorry!,0,0,0,0,0,1,0
1000130,Chandler,Look!,0,0,0,0,0,0,1
2000021,Chandler,This guy fell asleep!,0,0,0,0,0,0,0
1100120,Chandler,He fell asleep too!,0,0,0,0,0,0,0
1000400,Chandler,Be mad at him!,0,1,0,0,0,0,0
1000121,Chandler,"Or, call an ambulance.",0,0,0,0,0,0,0
4001000,Joey,"Okay, look, I think we have to tell Rachel she messed up her dessert.",1,0,0,0,0,0,0
2000111,Ross,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",0,0,0,0,0,0,0
5000000,Phoebe,"Yes, and it is my dying wish to have that ring.",1,0,0,0,0,0,0
3001100,Phoebe,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity",1,0,0,0,0,0,0
3100100,Chandler,"Okay, thats enough honey!",1,0,0,0,0,0,0
5000000,Customer,I dont know.  Let me see the ring.,1,0,0,0,0,0,0
2300000,Chandler,"Great! Okay, here.",0,0,0,0,1,0,0
5000000,Customer,All right.,1,0,0,0,0,0,0
1400000,Chandler,Thank you. Thank you. Thank you!  And,0,0,0,0,1,0,0
5000000,Chandler,What've you been up to?,1,0,0,0,0,0,0
4100000,Jade,"Oh, you know, the usual, teaching aerobics, partying way too much.",1,0,0,0,0,0,0
4100000,Jade,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",1,0,0,0,0,0,0
2300000,Chandler,Can you hold on a moment? I have another call.  I love her.,0,0,0,0,1,0,0
5000000,Ross,I know.,1,0,0,0,0,0,0
5000000,Chandler,I'm back.,1,0,0,0,0,0,0
4100000,Jade,"So, are we gonna get together or what?",1,0,0,0,0,0,0
3200000,Chandler,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",1,0,0,0,0,0,0
3200000,Jade,"Great, I'll see you then.",1,0,0,0,0,0,0
2300000,Chandler,Ok.  Ok. Having a phone has finally paid off.,0,0,0,0,1,0,0
5000000,Ross,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",1,0,0,0,0,0,0
3101000,Chandler,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",1,0,0,0,0,0,0
0000113,Ross,Oh my god. You are pure evil.,0,0,1,0,0,0,0
2020001,Chandler,"Ok, pure evil , horny and alone . I've done this",0,0,0,0,0,0,0
0000401,Phoebe,Nobody!,0,1,0,0,0,0,0
0000302,Phoebe,Nobody respects the bucket!,0,1,0,0,0,0,0
0000212,Phoebe,You wouldn't believe what people put in here!,0,0,0,0,0,0,0
1000301,Phoebe,Look!,0,1,0,0,0,0,0
0000311,Phoebe,"Okay, does this look like a garbage can to you?",0,1,0,0,0,0,0
5000000,Monica,No.,1,0,0,0,0,0,0
3200000,Ross,This is my wedding.,1,0,0,0,0,0,0
0002120,Monica,"All right, yknow what? We really are late! Lets go! Lets go! Lets go!!",0,0,0,0,0,0,0
3000101,Ross,Fine. Youll-youll watch it on video when we get back.,1,0,0,0,0,0,0
1300010,Chandler,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,0,0,0,0,1,0,0
3200000,Phoebe,Thank you.,1,0,0,0,0,0,0
3200000,Phoebe,Thank you.,1,0,0,0,0,0,0
1400000,Ross,"All right, lets go! Bye, Pheebs!",0,0,0,0,1,0,0
1400000,Joey,"Bye, Pheebs!",0,0,0,0,1,0,0
0500000,Joey,London baby!!,0,0,0,0,1,0,0
2300000,Phoebe,"Oh, do you need a hug? You dont have to bring me anything!",0,0,0,0,1,0,0
2100020,Chandler,Hey!,0,0,0,0,0,0,0
1400000,Joey,Hey! So Estelle lined up a bunch of auditions for me tomorrow and Ill have my health insurance back in no time.,0,0,0,0,1,0,0
2001011,Chandler,"Thats great, but shouldnt you be on the toilet right now?",0,0,0,0,0,0,0
1000031,Joey,What?!,0,0,0,0,0,0,1
1001012,Chandler,Whats wrong with you?,0,0,0,0,0,0,0
3000020,Joey,Nothing!,1,0,0,0,0,0,0
1013000,Joey,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, havent been able to stand up since.",0,0,0,1,0,0,0
4001000,Joey,"But um, I dont think its anything serious.",1,0,0,0,0,0,0
1001030,Chandler,This sounds like a hernia. You have toyou-you go to the doctor!,0,0,0,0,0,0,1
0003101,Joey,"No way! Kay look, if I have to go to the doctor for anything its gonna be for this thing sticking out of my stomach!",0,0,0,1,0,0,0
2000021,Chandler,Thats a hernia.,0,0,0,0,0,0,0
0000401,Joey,Why did I have to start working out again?  Damn you 15s!,0,1,0,0,0,0,0
1400000,Mona,I love your place! Where is this guy from?,0,0,0,0,1,0,0
4100000,Ross,Uh thats an eighteenth century Indian artifact from Calcutta.,1,0,0,0,0,0,0
0100040,Mona,"Oh wow! So, youre more than just dinosaurs.",0,0,0,0,0,0,1
5000000,Ross,So much more.,1,0,0,0,0,0,0
3200000,Ross,"Well, well to sum up, were having fun, you look young.",1,0,0,0,0,0,0
5000000,Mona,Okay,1,0,0,0,0,0,0
5000000,Ross,But thats not enough. So Soheres a key to my apartment.,1,0,0,0,0,0,0
0010040,Mona,Really?!,0,0,0,0,0,0,1
4100000,Ross,Really.,1,0,0,0,0,0,0
3000020,Mona,You dont think this is too fast.,1,0,0,0,0,0,0
0000410,Ross,Get Out!,0,1,0,0,0,0,0
3020000,Charlie,"Ross, can I talk to you for a minute?",1,0,0,0,0,0,0
3200000,Ross,"Yes, please!  So, what's going on?",1,0,0,0,0,0,0
0050000,Charlie,"Uh, well... Joey and I broke up.",0,0,0,0,0,1,0
0000050,Ross,"Oh my God, wh-what happened?",0,0,0,0,0,0,1
0030002,Charlie,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",0,0,0,0,0,1,0
0000212,Ross,I knew that was him!,0,0,0,0,0,0,0
1040000,Charlie,"Anyway I just, uh, I think it's for the best.",0,0,0,0,0,1,0
3020000,Ross,"Hey, you ok?",1,0,0,0,0,0,0
2030000,Charlie,I guess.,0,0,0,0,0,1,0
4010000,Charlie,There was hum...  there was another reason that I thought it was time to end it with Joey.,1,0,0,0,0,0,0
3020000,Charlie,I started to realize that I was having feelings for someone  else.,1,0,0,0,0,0,0
4100000,Paleontologist,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",1,0,0,0,0,0,0
3000200,Ross,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",1,0,0,0,0,0,0
4000001,Charlie,"Yeah, can you guys just throw him in the pool later?",1,0,0,0,0,0,0
2100101,Professore Clerk,Or we could throw you both in,0,0,0,0,0,0,0
1100300,Ross,"Ok, gentlemen!",0,1,0,0,0,0,0
0000410,Ross,Please!,0,1,0,0,0,0,0
0000401,Ross,Aren't we a little old for this?,0,1,0,0,0,0,0
2010101,Ross,"I mean, we're scientists, right?",0,0,0,0,0,0,0
2010101,Ross,We're academics.,0,0,0,0,0,0,0
1301000,Ross,And most importantly I... you-you will have to catch us first.,0,0,0,0,1,0,0
4000100,Ross,.,1,0,0,0,0,0,0
0301010,Ross,"GO, GO, GO!",0,0,0,0,1,0,0
0500000,Ross,"Go, go, go!",0,0,0,0,1,0,0
1300001,Rachel,"Oh yeah, now everybody wants to be under this hat!",0,0,0,0,1,0,0
0200012,Phoebe,Oy!!,0,0,0,0,0,0,0
2000030,Monica,Whats with all this sand?,0,0,0,0,0,0,1
3010010,Phoebe,"Oh, yeah, Bob said there might be flood damage.",1,0,0,0,0,0,0
4000001,Ross,"Yeah, either that, or he has a really big cat.",1,0,0,0,0,0,0
2000300,Joey,"Okay, see that blind guy right there? I'm gonna bash his head in later.",0,1,0,0,0,0,0
1400000,Joey,"Oh umm, my big scene is coming up. Big scene coming up.",0,0,0,0,1,0,0
4000001,Chandler,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",1,0,0,0,0,0,0
3000020,Monica,Rach? What are you doing?,1,0,0,0,0,0,0
0005000,Rachel,"Oh boy, I just can't watch. It's too scary!",0,0,0,1,0,0,0
3000020,Monica,It's a diaper commercial.,1,0,0,0,0,0,0
0013001,Rachel,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",0,0,0,1,0,0,0
1300010,Caitlin,Pizza delivery!,0,0,0,0,1,0,0
2300000,Ross,I'll get it! I will get that!,0,0,0,0,1,0,0
2300000,Caitlin,Hi!,0,0,0,0,1,0,0
2300000,Ross,Hi!,0,0,0,0,1,0,0
5000000,Ross,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?",1,0,0,0,0,0,0
5000000,Joey,"Uhh, the ball thing.",1,0,0,0,0,0,0
5000000,Ross,Yeah?,1,0,0,0,0,0,0
0500000,Joey,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",0,0,0,0,1,0,0
5000000,Ross,"Uhh,",1,0,0,0,0,0,0
1400000,Joey,Okay!,0,0,0,0,1,0,0
1003010,Joey,Uh-oh.,0,0,0,1,0,0,0
3000020,Ross,What?,1,0,0,0,0,0,0
1022000,Joey,I have to pee. And Rachel's in the bathroom!,0,0,0,0,0,0,0
1100030,Joey,"Man, I didn't think we were gonna make it!",0,0,0,0,0,0,1
1003010,Ross,"I know!  Don't switch hands, okay?",0,0,0,1,0,0,0
5000000,Joey,Hey.,1,0,0,0,0,0,0
3200000,Phoebe,Hey!,1,0,0,0,0,0,0
4001000,Rachel,How did it go with Erin?,1,0,0,0,0,0,0
0500000,Joey,"Oh, unbelievable! We had the best time!",0,0,0,0,1,0,0
1300010,Phoebe,"Yay!! Oh so, youre not, youre not mad at us anymore?",0,0,0,0,1,0,0
2200010,Joey,No!,0,0,0,0,0,0,0
2200010,Joey,No!,0,0,0,0,0,0,0
2200010,Joey,No!,0,0,0,0,0,0,0
0400010,Joey,You guys were totally right!,0,0,0,0,1,0,0
0400010,Joey,This is so much better than the first time we went out.,0,0,0,0,1,0,0
4001000,Joey,Yknow?,1,0,0,0,0,0,0
3010001,Joey,"That was so awkward, we were really nervous.",1,0,0,0,0,0,0
3000011,Phoebe,Didnt you sleep together?,1,0,0,0,0,0,0
4100000,Joey,"Yeah, that really calms me down.",1,0,0,0,0,0,0
2200010,Joey,And!,0,0,0,0,0,0,0
0400010,Joey,We have so much in common!,0,0,0,0,1,0,0
1200020,Joey,"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well thats a",0,0,0,0,0,0,0
0101030,Rachel,"Oh my God! Listen to you talkin about having kids. Oh my Joey.  Oh, please dont get married before I do.",0,0,0,0,0,0,1
5000000,Joey,Okay.,1,0,0,0,0,0,0
1000040,Monica,How does she do that?,0,0,0,0,0,0,1
3001001,Ross,I cannot sleep in a public place.,1,0,0,0,0,0,0
1200020,Monica,Would you look at her? She is so peaceful.,0,0,0,0,0,0,0
1000040,Phoebe,Oh! What what what! ...Hi.,0,0,0,0,0,0,1
5000000,Ross,"It's okay, y'know, you just nodded off again.",1,0,0,0,0,0,0
1000040,Monica,What's going on with you?,0,0,0,0,0,0,1
1000400,Phoebe,I got no sleep last night!,0,1,0,0,0,0,0
3000020,Ross,Why?,1,0,0,0,0,0,0
1010003,Phoebe,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",0,0,1,0,0,0,0
3010001,Phoebe,"Oh, and deaf.",1,0,0,0,0,0,0
3000002,Phoebe,"So they're constantly, like, having to reassure each other that they're having a good time.",1,0,0,0,0,0,0
1000013,Phoebe,You have no idea how loud they are!,0,0,1,0,0,0,0
5000000,Monica,"Well, if you want, you can stay with Rachel and me tonight.",1,0,0,0,0,0,0
2300000,Phoebe,Thanks.,0,0,0,0,1,0,0
0000023,Joey,Ew! What is that? Something exploded!,0,0,1,0,0,0,0
3000200,Nurse,"It's just her water breaking. Calm down, will you?",1,0,0,0,0,0,0
1000031,Joey,"Water breaking, what do you mean? What's that, water breaking?",0,0,0,0,0,0,1
4001000,Nurse,"Breathe, breathe, breathe.",1,0,0,0,0,0,0
0001130,Monica,"Are you insane? I mean Joey, is going to kill you, hes actually going to kill you dead.",0,0,0,0,0,0,1
1002020,Chandler,Okay! You dont think I thought of that?,0,0,0,0,0,0,0
1000130,Phoebe,How can you not know which one?,0,0,0,0,0,0,1
2000021,Rachel,I mean thats unbelievable.,0,0,0,0,0,0,0
3000020,Monica,"I mean, was it Gina?",1,0,0,0,0,0,0
5000000,Ross,Which one is Gina?,1,0,0,0,0,0,0
5000000,Rachel,"Dark, big hair, with the airplane earrings.",1,0,0,0,0,0,0
5000000,Monica,"No, no, no, thats Dina.",1,0,0,0,0,0,0
0000041,Chandler,"You see you cant tell which one is which either, dwha!!",0,0,0,0,0,0,1
3100010,Rachel,"I dont know, you thought See you Saturday was funny.",1,0,0,0,0,0,0
4100000,Rachel,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",1,0,0,0,0,0,0
3020000,Rachel,You guys would never want to go to a lecture with me.,1,0,0,0,0,0,0
0500000,Ross,Pa-haa!! I would love to go with you.,0,0,0,0,1,0,0
1000040,Rachel,Really!?,0,0,0,0,0,0,1
3100010,Ross,"Yeah, hey I-I have clothes, I even pick them out.",1,0,0,0,0,0,0
3100010,Ross,"I mean for, for all you know I could be a fashion..... monger.",1,0,0,0,0,0,0
0300020,Rachel,"Okay. Honey, I would love for you to go with me.  What?",0,0,0,0,1,0,0
0005000,Ross,"What should I wear, now Im all nervous.",0,0,0,1,0,0,0
0500000,Mr. Treeger,": I know, we did it!! Hey, that was incredible, huh?!",0,0,0,0,1,0,0
0500000,Joey,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",0,0,0,0,1,0,0
1400000,Mr. Treeger,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",0,0,0,0,1,0,0
1120100,Joey,"Oh well, okay, good luck.",0,0,0,0,0,0,0
5000000,Mr. Treeger,: Yeah.,1,0,0,0,0,0,0
4010000,Joey,Unless you wanna practice the Foxtrot again? Or-or the Tango?,1,0,0,0,0,0,0
4000001,Mr. Treeger,": Ahh, thanks but no. You see I-I think Im ready to dance with girls.",1,0,0,0,0,0,0
4010000,Joey,Okay.,1,0,0,0,0,0,0
5000000,Mr. Treeger,: Yeah.,1,0,0,0,0,0,0
4100000,Joey,Go get em Treeger.,1,0,0,0,0,0,0
5000000,Mr. Treeger,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",1,0,0,0,0,0,0
0100040,Joey,Really?,0,0,0,0,0,0,1
4100000,Mr. Treeger,": Yeah, you could dance real good with her, shes the same size as me.",1,0,0,0,0,0,0
3001001,Joey,"No, Im good.",1,0,0,0,0,0,0
0002120,Ross,"Oh God, this is so nerve wracking! How-how do you do this?",0,0,0,0,0,0,0
3020000,Joey,"Well, unfortunately, I don't get many callbacks so",1,0,0,0,0,0,0
2000030,Carol,Is it a good sign that they asked us to hang around after the audition?,0,0,0,0,0,0,1
3001010,Joey,Who knows?,1,0,0,0,0,0,0
5000000,The Casting Director,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",1,0,0,0,0,0,0
0500000,Ross,Yes!! I knew it!!  Bye-bye! So long! Later!,0,0,0,0,1,0,0
0500000,Joey,Oh this is great! I might actually get to play Ben's dad!,0,0,0,0,1,0,0
0500000,Ross,Yeah!,0,0,0,0,1,0,0
4010000,The Casting Director,"Actually, that can't happen.",1,0,0,0,0,0,0
5000000,The Casting Director,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",1,0,0,0,0,0,0
5000000,The Casting Director,So it'll be either you two  or you two.,1,0,0,0,0,0,0
1011011,Joey,"Man, this is gonna be kinda weird.",0,0,0,0,0,0,0
3010010,Ross,"Yeah, it is.",1,0,0,0,0,0,0
3101000,Ross,"No, we-we're gonna be like best friends, that's why it's gonna be weird.",1,0,0,0,0,0,0
2012000,Monica,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",0,0,0,0,0,0,0
0300200,Chandler,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",0,0,0,0,1,0,0
0010211,Ross,Please!,0,0,0,0,0,0,0
0010121,Ross,Are you kidding?,0,0,0,0,0,0,0
0220100,Ross,"I-I hurt three huge men, I gave a guy a bloody noseI mean I-Im not proud of it but, I really am.",0,0,0,0,0,0,0
0500000,Ross,"And its all because of you, wonderful, amazing you.",0,0,0,0,1,0,0
1003010,Emily,I think youve got concussion.,0,0,0,1,0,0,0
1400000,Ross,"No, no, Im serious. Thank you.",0,0,0,0,1,0,0
1003010,Emily,Youre welcome.  Im sorry. Did I hurt you?,0,0,0,1,0,0,0
0210110,Ross,"Its worth the pain.  Yknow what, you know what? Its not.",0,0,0,0,0,0,0
0100040,Monica,Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,0,0,0,0,0,0,1
2200010,Chandler,"I do! Want a hint? huh? ""I do""  ""I do"".",0,0,0,0,0,0,0
3100001,Monica,"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",1,0,0,0,0,0,0
1400000,Chandler,David is going to propose to Phoebe.,0,0,0,0,1,0,0
0000050,Monica,What?  Why?,0,0,0,0,0,0,1
2201000,Chandler,"Be-cause, we were talking about ways that he could beat Mike and I told him that Phoebe wanted to get married.",0,0,0,0,0,0,0
1010300,Monica,"Chandler, we have talked about this.",0,1,0,0,0,0,0
1000400,Monica,You are not supposed to give people advice!,0,1,0,0,0,0,0
0000212,Monica,Now couldn't you just have made some sort of inappropriate joke?,0,0,0,0,0,0,0
4010000,Chandler,I,1,0,0,0,0,0,0
0000320,Monica,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,0,1,0,0,0,0,0
0011201,Monica,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",0,0,0,0,0,0,0
2021000,Chandler,"Man, that's some",0,0,0,0,0,0,0
4010000,Ross,"Oh, that's not what you want...",1,0,0,0,0,0,0
4100000,Elizabeth,"This is my father, Paul Stevens. Dad, this is Ross Geller.",1,0,0,0,0,0,0
1301000,Ross,It-its great to meet you Paul.,0,0,0,0,1,0,0
3000101,Paul,I usually prefer Elizabeths boyfriends to address me as Mr. Stevens.,1,0,0,0,0,0,0
3001010,Ross,"Of course, of course, Mr. Stevens.",1,0,0,0,0,0,0
0000401,Paul,"So Ross, what your problem?",0,1,0,0,0,0,0
1001030,Ross,Eh-whExcuse me?,0,0,0,0,0,0,1
0000311,Paul,Why cant you get a girlfriend your own age?,0,1,0,0,0,0,0
0013100,Ross,Thats funny. Umm.  Its not funny.,0,0,0,1,0,0,0
4000010,Paul,I,1,0,0,0,0,0,0
4010000,Ross,Okay.,1,0,0,0,0,0,0
3011000,Ross,"I can, I can see that.",1,0,0,0,0,0,0
2003000,Ross,"Umm, but I think if you give me umm, one chance I can, I can change your mind.",0,0,0,1,0,0,0
4000100,Paul,Okay.,1,0,0,0,0,0,0
3000020,Ross,What?,1,0,0,0,0,0,0
1000301,Paul,Okay. Ill give you one chance to change my mind.  You got one minute.,0,1,0,0,0,0,0
1000040,Elizabeth,Daddy!,0,0,0,0,0,0,1
5000000,Joey,"Oh well, its not on TV yet.",1,0,0,0,0,0,0
4000100,The Dry Cleaner,"Well, then its not on the wall yet.",1,0,0,0,0,0,0
4001000,Joey,"Okay, fine, I will bring you a tape, huh?",1,0,0,0,0,0,0
3101000,Phoebe,"So umm, now do you have any of Matt Lauers clothes here? Maybe? Just ones that havent been cleaned yet?",1,0,0,0,0,0,0
0100040,Joey and Chandler,Ooooohh!,0,0,0,0,0,0,1
3000002,Phoebe,"Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",1,0,0,0,0,0,0
2000030,Monica,Was it...?,0,0,0,0,0,0,1
3000002,Phoebe,"Oh, boy scouts could have camped under there.",1,0,0,0,0,0,0
1100030,Rachel,"""Ooo,"" what?",0,0,0,0,0,0,1
4100000,Phoebe,Uma Thurman.,1,0,0,0,0,0,0
0000050,Monica,Oh!,0,0,0,0,0,0,1
0200030,Ross,The actress!,0,0,0,0,0,0,1
4100000,Ross,Thanks Rach.,1,0,0,0,0,0,0
2000030,Chandler,So what are you gonna do?,0,0,0,0,0,0,1
0301100,Ross,You have to tell her!,0,0,0,0,1,0,0
0300200,Ross,You have to tell her!,0,0,0,0,1,0,0
0200102,Ross,"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue!",0,0,0,0,0,0,0
1002110,Ross,Guys?,0,0,0,0,0,0,0
1002020,Ross,Guys?,0,0,0,0,0,0,0
5000000,Chandler,"Oh, yeah, you have to tell her.",1,0,0,0,0,0,0
4000010,Joey,Feminist issue. That's where I went!,1,0,0,0,0,0,0
0023000,Phoebe,She is gonna hate me.,0,0,0,1,0,0,0
5000000,Ross,"Yeah, well...",1,0,0,0,0,0,0
2200010,Chandler,Will you marry me?,0,0,0,0,0,0,0
0500000,Joey,Its the big night! We wanted to wish you good luck!,0,0,0,0,1,0,0
3200000,Ross,"Yeah, yeah you have the ring?",1,0,0,0,0,0,0
4100000,Chandler,"Yeah, right here in my pocket.  Pheebs?",1,0,0,0,0,0,0
0001040,Phoebe,Oh! Oop!,0,0,0,0,0,0,1
3100100,Chandler,"Okay, now will you guys get out of here? I want this is to be a surprise and shes gonna know.",1,0,0,0,0,0,0
3100100,Ross,Yeah-yeah you guys. Get out of here!,1,0,0,0,0,0,0
5000000,Monica,Hi guys.,1,0,0,0,0,0,0
1400000,Chandler,You are beautiful.,0,0,0,0,1,0,0
1300010,Monica,"Oh, thank you!   Whats going on?",0,0,0,0,1,0,0
3200000,Rachel,Were just reallyvery excited about this charity event that we have to go to.,1,0,0,0,0,0,0
5000000,Rachel,"Okay umm, Ross?",1,0,0,0,0,0,0
